1.800865	2.321115	
2.781336	3.081480	
9.714665	10.154876	
11.695616	12.566034	
19.229234	19.649435	
21.210185	22.110617	
35.667127	36.097333	
38.978717	40.239322	
44.441340	45.171691	
51.314641	51.964953	
63.290391	67.002174	
79.998414	80.538674	
88.682584	89.382920	
97.456797	98.287196	
100.058047	101.028513	
109.122399	109.562610	
113.444475	116.195796	
124.809932	125.360196	
126.080542	127.321138	
128.131527	129.202041	
140.747585	141.277840	
143.508911	147.830986	
148.891496	153.933917	
154.794330	155.014436	
158.986343	160.687160	
174.423756	175.704371	
177.155067	178.205572	
180.476662	181.587196	
182.007398	182.357566	
186.459535	188.590559	
197.494834	200.986511	
221.436331	224.317714	
230.440655	232.081442	
238.094330	240.625545	
242.006208	243.546948	
244.567438	245.587928	
251.010532	251.680854	
252.331166	253.241603	
254.872386	256.263054	
269.589453	272.760976	
275.132115	275.542312	
280.104502	280.834853	
292.780589	293.230806	
293.630998	293.911132	
296.062165	296.302280	
297.722963	298.603385	
305.246575	307.597704	
316.922182	321.394329	
322.674944	330.798845	
332.339585	335.701199	
336.461564	337.462045	
352.749386	354.990462	
355.990942	357.431634	
361.453565	364.174872	
366.315900	366.816140	
378.421713	390.407468	
391.968218	394.109246	
397.650947	397.971100	
417.440449	419.281333	
462.021857	467.504489	
469.225316	496.918614	
502.801439	504.842419	
505.882918	528.253660	
530.854909	570.914145	
589.563100	592.124330	
624.760001	626.420799	
627.081116	628.061587	
628.741913	629.922480	
678.565838	791.940279	
834.240591	838.642705	
843.244915	844.765645	
